i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100
11,624,1224,1787,3024,1.62,1.15,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
12,688,1288,1700,3088,1.13,1.76,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
13,1013,1613,1724,3413,1.66,1.23,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
14,1071,1671,1907,3471,1.61,1.72,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
15,1100,1700,2234,3500,1.78,1.02,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
16,1201,1801,2003,3601,1.09,1.73,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
17,1467,2067,2169,3867,1.85,1.69,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
18,1491,2091,2215,3891,1.89,1.17,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
19,1642,2242,2781,4042,1.30,1.08,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
20,1740,2340,2436,4140,1.67,1.02,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
21,2019,2619,3111,4419,1.02,1.29,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
22,2105,2705,2967,4505,1.26,1.09,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
23,2126,2726,2971,4526,1.70,1.50,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
24,2203,2803,2918,4603,1.08,1.90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
25,2282,2882,3258,4682,1.58,1.83,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
26,2646,3246,3728,5046,1.08,1.87,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
27,2735,3335,3468,5135,1.14,1.29,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
28,2757,3357,3750,5157,1.20,1.10,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
29,2768,3368,3647,5168,1.55,1.78,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
30,2828,3428,3495,5228,1.20,1.44,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
31,2863,3463,3579,5263,1.27,1.74,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
32,2895,3495,4079,5295,1.97,1.78,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
33,2944,3544,3764,5344,1.38,1.04,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
34,3023,3623,3749,5423,1.66,1.52,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
35,3032,3632,3854,5432,1.88,1.99,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
36,3123,3723,4273,5523,1.56,1.85,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
37,3590,4190,4469,5990,1.20,1.75,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
38,3620,4220,4771,6020,1.94,1.29,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
39,3646,4246,4836,6046,1.99,1.84,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
40,3776,4376,4695,6176,1.30,1.18,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
41,3883,4483,4829,6283,1.67,1.81,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
42,4294,4894,5400,6694,1.30,1.08,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
43,4365,4965,5536,6765,1.20,1.75,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
44,4382,4982,5224,6782,1.57,1.72,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
45,4421,5021,5443,6821,1.57,1.78,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
46,4430,5030,5492,6830,1.22,1.35,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
47,4545,5145,5373,6945,1.70,1.08,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
48,4575,5175,5731,6975,1.99,1.20,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
49,4614,5214,5749,7014,1.19,1.37,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
50,4624,5224,5588,7024,1.13,1.55,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
51,4746,5346,5636,7146,1.61,1.92,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
52,4988,5588,5946,7388,1.46,1.74,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
53,5091,5691,6145,7491,1.97,1.89,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
54,5104,5704,6074,7504,1.75,1.38,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
55,5208,5808,6223,7608,1.61,1.20,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
56,5344,5944,6521,7744,1.89,1.09,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
57,5381,5981,6404,7781,1.17,1.50,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
58,5502,6102,6455,7902,1.47,1.32,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
59,5608,6208,6344,8008,1.44,1.87,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
60,5982,6582,6867,8382,1.39,1.89,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
