i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200
11,643,1243,1471,3043,1.33,1.98,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
12,890,1490,1762,3290,1.77,1.79,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
13,1185,1785,1907,3585,1.12,1.71,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
14,1267,1867,2139,3667,1.41,1.84,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
15,1632,2232,2582,4032,1.46,1.16,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
16,1635,2235,2779,4035,1.02,1.43,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
17,1686,2286,2768,4086,1.04,1.25,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
18,1791,2391,2776,4191,1.32,1.26,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
19,1981,2581,2730,4381,1.01,1.02,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
20,2034,2634,3092,4434,1.26,1.01,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
21,2066,2666,2879,4466,1.66,1.78,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
22,2119,2719,3154,4519,1.80,1.95,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
23,2229,2829,2940,4629,1.41,1.76,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
24,2268,2868,3246,4668,1.82,1.85,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
25,2277,2877,3424,4677,1.27,1.35,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
26,2773,3373,3938,5173,1.83,1.82,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
27,2827,3427,3858,5227,1.50,1.41,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
28,2911,3511,3779,5311,1.96,1.37,90,68,68,90,68,90,68,90,68,68,68,90,90,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,68,90,68,68,68,68,68,90,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68,90,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,68,68,68,68,90,68,90,68,68,90,68,68,68,90,90,90,90,68,90,68,68,90,90,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,68,90,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,68,90,68,90,68,68,68,90,68,90,68,68,68,90,68,90,90,68,68,68,68,68,90,90,68,68,68,68,90,68,90
29,2957,3557,3635,5357,1.84,1.23,135,90,90,135,90,113,90,113,90,113,113,113,135,90,113,135,113,90,113,90,90,113,113,90,113,113,90,113,90,113,113,90,135,113,90,113,90,113,90,113,113,90,113,113,90,90,113,113,113,113,90,90,90,90,90,113,90,135,90,90,113,113,90,90,113,113,90,113,90,90,90,113,90,113,113,90,113,113,90,90,113,90,90,113,90,113,90,113,113,113,113,90,90,135,113,113,90,113,113,135,135,113,90,113,90,90,90,113,113,113,90,113,135,90,90,90,135,135,135,113,90,113,113,90,113,113,113,113,90,90,113,135,90,113,113,90,113,113,113,113,90,113,135,113,90,90,113,135,113,90,113,90,113,90,90,90,90,90,135,113,113,90,90,90,113,90,113,113,90,113,113,113,113,113,113,113,113,90,113,90,113,90,113,90,113,135,90,113,113,113,113,135,135,90,113,113,113,135,113,135
30,2968,3568,4046,5368,1.68,1.00,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
